#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xinit,"starts the graphical server."
,xorg-xbacklight,"enables changing screen brightness levels."
,xcompmgr,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can splice and dice video and audio on the command line."
,vim,"is a text editor"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
A,librewolf-bin,"is a browser forked from firefox."
,noto-fonts,"provides some nice fonts."
,noto-fonts-emoji,"is an emoji font."
,alsa-utils,"provides utilities for alsa sound."
,xcape,"gives the special escape/super mappings."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-poppler,"allows mupdf pdf compatibility in zathura."
,zathura-ps,"provides PostScript support for zathura"
,fzf,"is a fuzzy finder tool."
G,https://github.com/nkostin4/dwmblocks.git,"is the suckless status bar."
G,https://github.com/nkostin4/dmenu.git,"is the suckless run launcher"
G,https://github.com/nkostin4/dwm.git,"is the suckless window manager."
